Feature,Importance
Crop_Encoded,0.8065822899220371
Year_Since_Start,0.031166727825820605
tmin_growing_avg,0.029042141610821366
Year_Squared,0.02763725531764392
State_Encoded,0.02566758678677202
Year,0.022727133203379348
long_squared,0.00975336267252097
lat_long_interaction,0.009042926255941192
Latitude,0.006249572549752043
Longitude,0.006137740993877452
lat_squared,0.006106822178182664
extreme_heat_flag,0.003800994484300792
tmax_growing_avg,0.0016371016681131234
moisture_stress,0.00163708603078733
bulk_density,0.001343186505329047
temp_range_avg,0.0013114984253201965
temp_prcp_interaction,0.001137009820331827
temp_variability,0.0010992209179101998
cec,0.0008289351143013605
clay_pct,0.0007753044253946115
rh_growing_avg,0.0007438414261958212
organic_matter_pct,0.0006822230601573211
awc,0.000677414201447648
sand_pct,0.0006201029125541904
County_Encoded,0.0006035027621009726
soil_quality_score,0.00057097821183763
tavg_growing_avg,0.000529398745775876
ph,0.0003534714842373654
heat_stress_days,0.0003519936224543542
prcp_growing_total,0.0003475887469214581
silt_pct,0.0003276549308970988
gdd_total,0.0003260763346937567
gdd_per_day,0.00014239823686784317
loam_index,3.9458615321407454e-05
