Feature,Importance
Crop_Encoded,0.7865392442437517
Year,0.028802092673123506
Year_Squared,0.027497100233900812
tmin_growing_avg,0.02745771698631724
Year_Since_Start,0.027398800353854065
State_Encoded,0.02519321222121567
lat_long_interaction,0.011580185047344337
long_squared,0.009720651529486556
Longitude,0.009378188881710612
Latitude,0.007864526114554475
lat_squared,0.00675163562739921
rh_growing_avg,0.00397906900451922
tmax_growing_avg,0.0033434353814330753
temp_range_avg,0.0033310436030526826
temp_variability,0.0031248675993457795
County_Encoded,0.003099093469931254
moisture_stress,0.00291589094578049
temp_prcp_interaction,0.002717170137251399
prcp_growing_total,0.0018585328675975996
tavg_growing_avg,0.0016469009729849016
gdd_per_day,0.0011694209613642614
gdd_total,0.0011521012849230372
extreme_heat_flag,0.0010502367901117765
heat_stress_days,0.0005060854366150747
bulk_density,0.0003360668270277015
ph,0.00031350429154976186
clay_pct,0.00029122728046298023
cec,0.0002218199585493432
sand_pct,0.00017891020283724058
organic_matter_pct,0.0001738766029600587
silt_pct,0.00013249498111715766
awc,0.00010794530513190839
soil_quality_score,0.00010478526168775384
loam_index,6.21669211075186e-05
