Feature,Importance
Crop_Encoded,0.8065798071964247
Year_Since_Start,0.03047884669575595
tmin_growing_avg,0.029045331202571
Year,0.025785810704413232
State_Encoded,0.0256673071032366
Year_Squared,0.02527115275069027
long_squared,0.00942210479346954
lat_long_interaction,0.009008178358929893
Latitude,0.007064270560638634
Longitude,0.006524495806164374
lat_squared,0.005297023022345354
extreme_heat_flag,0.0038041240335713903
moisture_stress,0.0016444963813113283
tmax_growing_avg,0.0016348937465554382
temp_range_avg,0.0013069708997565691
temp_prcp_interaction,0.0011164382001884528
temp_variability,0.001100619959386483
bulk_density,0.0010755622573302777
cec,0.0009419337092161955
sand_pct,0.0007674074472250439
rh_growing_avg,0.000748565676295917
silt_pct,0.0006973647454875591
clay_pct,0.0006603313213795779
awc,0.0006596555631272118
County_Encoded,0.0006022442723724271
organic_matter_pct,0.0005394201323063629
tavg_growing_avg,0.0005232937764594229
ph,0.0004289106574809219
soil_quality_score,0.00038410650346853097
prcp_growing_total,0.00035846045840594017
heat_stress_days,0.00034716002552656887
gdd_total,0.0003047467534714907
gdd_per_day,0.00016325246661564382
loam_index,4.571281842145888e-05
